01;1236;425;12;1234;456;96;30
01;1236;2147;12;1234;20;678;50
03;3574;7124;10;789;20;678;40
02;2698;2147;10;789;12;1234;20
03;3574;111111;10;789;20;678;40
03;3574;101010;20;678;12;1234;20
01;1236;4225;12;1234;456;96;30
01;1236;22147;12;1234;20;678;50
03;3574;72124;10;789;20;678;40
02;2698;21247;10;789;12;1234;20
03;3574;1121111;10;789;20;678;40
03;3574;1012010;20;678;12;1234;20
01;1236;4215;12;1234;456;96;30
01;1236;23147;12;1234;20;678;50
03;3574;71324;10;789;20;678;40
02;2698;21347;10;789;12;1234;20
03;3574;1131111;10;789;20;678;40
03;3574;1013010;20;678;12;1234;20
01;1236;4245;12;1234;456;96;30
01;1236;21447;12;1234;20;678;50
03;3574;71424;10;789;20;678;40
02;2698;21447;10;789;12;1234;20
03;3574;1114111;10;789;20;678;40
03;3574;1041010;20;678;12;1234;20
01;1236;46225;12;1234;456;96;30
01;1236;226147;12;1234;20;678;50
03;3574;721624;10;789;20;678;40
02;2698;212467;10;789;12;1234;20
03;3574;11216111;10;789;20;678;40
03;3574;10120610;20;678;12;1234;20
01;1236;45215;12;1234;456;96;30
01;1236;235147;12;1234;20;678;50
03;3574;713524;10;789;20;678;40
02;2698;213457;10;789;12;1234;20
03;3574;11311511;10;789;20;678;40
03;3574;10130150;20;678;12;1234;20
01;1236;4625;12;1234;456;96;30
01;1236;21647;12;1234;20;678;50
03;3574;71264;10;789;20;678;40
02;2698;21476;10;789;12;1234;20
03;3574;1111161;10;789;20;678;40
03;3574;1010106;20;678;12;1234;20
01;1236;84225;12;1234;456;96;30
01;1236;282147;12;1234;20;678;50
03;3574;728124;10;789;20;678;40
02;2698;212847;10;789;12;1234;20
03;3574;11218111;10;789;20;678;40
03;3574;10120810;20;678;12;1234;20
01;1236;94215;12;1234;456;96;30
01;1236;293147;12;1234;20;678;50
03;3574;719324;10;789;20;678;40
02;2698;213947;10;789;12;1234;20
03;3574;11319111;10;789;20;678;40
03;3574;10130910;20;678;12;1234;20
01;1236;894245;12;1234;456;96;30
01;1236;8921447;12;1234;20;678;50
03;3574;7198424;10;789;20;678;40
02;2698;2148947;10;789;12;1234;20
03;3574;111894111;10;789;20;678;40
03;3574;104189010;20;678;12;1234;20
01;1236;46225;12;1234;456;96;30
01;1236;226147;12;1234;20;678;50
03;3574;721624;10;789;20;678;40
02;2698;212467;10;789;12;1234;20
03;3574;11216111;10;789;20;678;40
03;3574;10120610;20;678;12;1234;20
01;1236;456215;12;1234;456;96;30
01;1236;2356147;12;1234;20;678;50
03;3574;7135624;10;789;20;678;40
02;2698;2134567;10;789;12;1234;20
03;3574;113115611;10;789;20;678;40
03;3574;101301560;20;678;12;1234;20
01;1236;4656225;12;1234;456;96;30
01;1236;226566147;12;1234;20;678;50
03;3574;72156624;10;789;20;678;40
02;2698;21256467;10;789;12;1234;20
03;3574;1125616111;10;789;20;678;40
03;3574;1012560610;20;678;12;1234;20
01;1236;45656215;12;1234;456;96;30
01;1236;235566147;12;1234;20;678;50
03;3574;713565624;10;789;20;678;40
02;2698;213564567;10;789;12;1234;20
03;3574;11356115611;10;789;20;678;40
03;3574;101560;20;678;12;1234;20
